Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0100000US,,United States,308745538.00,308758105.00,309338421.00,311644280.00,313993272.00,316234505.00,318622525.00,321039839.00,323405935.00,325719178.00
0400000US01,1,Alabama,4779736.00,4780135.00,4785579.00,4798649.00,4813946.00,4827660.00,4840037.00,4850858.00,4860545.00,4874747.00
0400000US02,2,Alaska,710231.00,710249.00,714015.00,722259.00,730825.00,736760.00,736759.00,737979.00,741522.00,739795.00
0400000US04,4,Arizona,6392017.00,6392309.00,6407002.00,6465488.00,6544211.00,6616124.00,6706435.00,6802262.00,6908642.00,7016270.00
0400000US05,5,Arkansas,2915918.00,2916031.00,2921737.00,2938640.00,2949208.00,2956780.00,2964800.00,2975626.00,2988231.00,3004279.00
0400000US06,6,California,37253956.00,37254518.00,37327690.00,37672654.00,38019006.00,38347383.00,38701278.00,39032444.00,39296476.00,39536653.00
0400000US08,8,Colorado,5029196.00,5029325.00,5048029.00,5116411.00,5186330.00,5262556.00,5342311.00,5440445.00,5530105.00,5607154.00
0400000US09,9,Connecticut,3574097.00,3574114.00,3580171.00,3591927.00,3597705.00,3602470.00,3600188.00,3593862.00,3587685.00,3588184.00
0400000US10,10,Delaware,897934.00,897936.00,899712.00,907884.00,916868.00,925114.00,934805.00,944107.00,952698.00,961939.00
0400000US11,11,District of Columbia,601723.00,601766.00,605040.00,620336.00,635630.00,650114.00,660797.00,672736.00,684336.00,693972.00
0400000US12,12,Florida,18801310.00,18804594.00,18846461.00,19097369.00,19341327.00,19584927.00,19897747.00,20268567.00,20656589.00,20984400.00
